Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uf,
"C10, C11, C13, C14, C15, C16, C17, C18, C19, C20, C22, C8, C9",0402,13,100n,
C2,0402,1,100nf,
"C23, C24",0402,2,15p,
"C3, C4",0603,2,22uf,
"C5, C6, C7",0402,3,4.7u,
D1,0603,1,LED,
"J1, J2",PinHeader_1x23_P2.54mm_Vertical,2,Conn_01x23_Pin,
L1,1210,1,3.9uh,
L2,0603-special,1,3.3u,C42411119
R1,0402,1,5.1k,
"R2, R9",0402,2,33,
R3,0402,1,10k,
"R4, R5",0402,2,1k,
"R6, R7",0402,2,27,
"SW1, SW3, SW4",SW_Cherry_MX_1.00u_Plate,3,SW_Push,
U1,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,1,AP63203WU-7,C780769
U2,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
U4,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q64JVSSIQ_C179171,C179171
U5,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U6,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A-QFN60,
